# Source: GSI Datasets | Cite as: Gruffydd-Jones, J. (2026). GSI Datasets. https://github.com/jjgj/gsi-datasets | Build: 2026-06-23
publication,ID,Date,Newspaper,Headline,snippet,sent_score
MFA,20,2022-05-20,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Wang Wenbin's Regular Press Conference on May 20 2022,"At the invitation of State Councilor and Foreign Minister Wang Yi, Pakistani Foreign Minister Bilawal Bhutto Zardari will pay an official visit to China from May 21 to 22. Shenzhen TV: Foreign ministers of BRICS countrie",0.101
Xinhua,34,2022-05-20,Xinhua,"Emerging markets, developing countries should uphold true multilateralism: Chinese FM","BEIJING, May 20 (Xinhua) -- Chinese State Councilor and Foreign Minister Wang Yi has said that emerging markets and developing countries should uphold true multilateralism. Wang made the remarks on Thursday when chairing",0.111
Xinhua,35,2022-05-20,Xinhua,"Chinese FM holds phone talks with Uruguayan counterpart over ties, cooperation","BEIJING, May 20 (Xinhua) -- Chinese State Councilor and Foreign Minister Wang Yi on Friday held a phone conversation with Uruguayan Foreign Minister Francisco Bustillo. Wang said that China-Uruguay relations enjoy a soli",0.176
Xinhua,36,2022-05-20,Xinhua,Xi Focus-Explainer: How ancient teachings underline China's contemporary governance,"BEIJING, May 20 (Xinhua) -- Chinese President Xi Jinping has often quoted ancient Chinese teachings and proverbs to illustrate the principles of various aspects of state governance. By examining such quotes, observers ha",0.149
MFA,21,2022-05-21,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Speaks with Uruguayan Foreign Minister Francisco Bustillo on the Phone at Request,"On May 20, 2022, State Councilor and Foreign Minister Wang Yi had a phone conversation with Uruguayan Foreign Minister Francisco Bustillo at the latter's request. Wang Yi said, China-Uruguay relations enjoy a solid polit",0.201
MFA,22,2022-05-21,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Talks about China-LAC Relations with Foreign Ministers of Three LAC Countries,"On May 20, 2022, State Councilor and Foreign Minister Wang Yi elaborated on China's position and views on developing China-Latin America and the Caribbean (LAC) relations in phone conversations with Uruguayan Foreign Min",0.15
MFA,23,2022-05-21,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Speaks with Nicaraguan Foreign Minister Denis Moncada on the Phone,"On May 20, 2022, State Councilor and Foreign Minister Wang Yi had a phone conversation with Nicaraguan Foreign Minister Denis Moncada. Wang Yi said, since the resumption of diplomatic relations between China and Nicaragu",0.211
Xinhua,37,2022-05-21,Xinhua,"Chinese, Nicaraguan FMs hold phone conversation, vowing to boost cooperation","BEIJING, May 20 (Xinhua) -- Chinese State Councilor and Foreign Minister Wang Yi on Friday held a phone conversation with Nicaraguan Foreign Minister Denis Moncada. Wang said that in the past six months since the resumpt",0.186
Xinhua,38,2022-05-21,Xinhua,Chinese FM elaborates on China-Latin America relations,"BEIJING, May 20 (Xinhua) -- Chinese State Councilor and Foreign Minister Wang Yi on Friday elaborated on China's position and views on developing relations with countries in Latin America and the Caribbean (LAC) in phone",0.14
MFA,24,2022-05-22,Ministry of Foreign Affairs of the People's Republic of China - News (English),China-Pakistan Joint Statement (Full Text),"1. At the invitation of State Councilor and Foreign Minister H.E. Wang Yi, H.E. Bilawal Bhutto Zardari visited Guangzhou, China, on 21-22 May 2022 for his first official bilateral visit after taking office as Foreign Min",0.144
MFA,25,2022-05-22,Ministry of Foreign Affairs of the People's Republic of China - News (English),China-Pakistan Joint Statement (Full Text),"1. At the invitation of State Councilor and Foreign Minister H.E. Wang Yi, H.E. Bilawal Bhutto Zardari visited Guangzhou, China, on 21-22 May 2022 for his first official bilateral visit after taking office as Foreign Min",0.144
MFA,26,2022-05-22,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Introduces the Important Consensus Reached in the Talks between Chinese and Pakistani Foreign Ministers,"On May 22, 2022, State Councilor and Foreign Minister Wang Yi and visiting Pakistani Foreign Minister Bilawal Bhutto Zardari jointly met the press after their talks in Guangzhou. Wang Yi said, this is Mr. Bilawal's first",0.172
MFA,27,2022-05-22,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Holds Talks with Pakistani Foreign Minister Bilawal Bhutto Zardari,"On May 22, 2022, State Councilor and Foreign Minister Wang Yi held talks with visiting Pakistani Foreign Minister Bilawal Bhutto Zardari in Guangzhou. Wang Yi said, China welcomes the fact that Bilawal carries forward th",0.158
Xinhua,39,2022-05-22,Xinhua,Chinese foreign minister holds talks with Pakistani counterpart,"GUANGZHOU, May 22 (Xinhua) -- Chinese State Councilor and Foreign Minister Wang Yi held talks with Pakistan's new foreign minister Bilawal Bhutto Zardari on Sunday in Guangzhou. Bilawal paid an official visit to China fr",0.105
MFA,28,2022-05-23,Ministry of Foreign Affairs of the People's Republic of China - News (English),Jointly Building an Asia-Pacific Community with a Shared Future,"Opening Address by H.E. Wang Yi State Councilor and Foreign Minister of the People's Republic of China At the 78th Session of ESCAP Mr. Chair, Madam Executive Secretary, Friends, On the occasion of the 75th anniversary o",0.148
MFA,29,2022-05-23,Ministry of Foreign Affairs of the People's Republic of China - News (English),Wang Yi Attends and Addresses the Opening Ceremony of the 78th Session of the UN Economic and Social Commission for Asia and the Pacific,"On May 23, 2022, State Councilor and Foreign Minister Wang Yi attended and addressed the opening ceremony of the 78th session of the UN Economic and Social Commission for Asia and the Pacific (ESCAP) via video link. Wang",0.154
MFA,30,2022-05-23,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Wang Wenbin's Regular Press Conference on May 23 2022,"AFP: President Biden has said that the United States would defend Taiwan militarily if Beijing invaded or forcibly tried to take control of Taiwan. He has said, we agreed with the one China policy, we signed on it, but t",0.027
Xinhua,40,2022-05-23,Xinhua,Full text: China-Pakistan Joint Statement,"GUANGZHOU, May 22 (Xinhua) -- The following is the full text of a joint statement released by China and Pakistan on Sunday: China-Pakistan Joint Statement (Full Text) 1. At the invitation of Chinese State Councilor and F",0.164
MFA,31,2022-05-24,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Wang Wenbin's Regular Press Conference on May 24 2022,"From May 26 to June 4, State Councilor and Foreign Minister Wang Yi will pay official visits to eight countries, namely Solomon Islands, Kiribati, Samoa, Fiji, Tonga, Vanuatu, Papua New Guinea and Timor-Leste, and a virt",0.042
Xinhua,41,2022-05-24,Xinhua,Xiplomacy: Xi offers China's proposal to tackle global security challenges,"BEIJING, May 24 (Xinhua) -- Global peace and development is faced with challenges posed by the Ukraine crisis at a time when the world has yet to emerge from the shadow of the COVID-19 pandemic. To tackle the peace defic",0.103
Xinhua,42,2022-05-25,Xinhua,China's top legislator holds talks with Jordan's Senate president,"BEIJING, May 25 (Xinhua) -- China's top legislator Li Zhanshu on Wednesday held talks with Jordan's Senate President Faisal Fayez via video link. Li, chairman of the National People's Congress (NPC) Standing Committee, s",0.179
Xinhua,43,2022-05-26,Xinhua,"China, Venezuela vow to strengthen communication between legislatures","BEIJING, May 26 (Xinhua) -- Wang Chen, vice chairman of the National People's Congress (NPC) Standing Committee, met with Iris Varela, First Vice President of Venezuela's National Assembly, via video link on Thursday. Wa",0.111
MFA,32,2022-05-27,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Wang Wenbin's Regular Press Conference on May 27 2022,"Bloomberg: China offered Sri Lanka a loan to help the country pay for essential consumer items and fertilizers, according to a report from the Financial Times citing the Sri Lankan prime minister. Can the foreign ministr",0.052
MFA,33,2022-05-28,Ministry of Foreign Affairs of the People's Republic of China - News (English),"Wang Yi: U.S. views on world, China, China-U.S. relations are seriously miscalibrated","On 28 May 2022, in response to a question from a journalist on U.S. Secretary of State Tony Blinken's policy speech, in which he said that China poses """"the most serious long-term challenge to the international order"""" a",0.128
Xinhua,44,2022-05-28,Xinhua,Pakistan welcomes China-proposed Global Security Initiative,"ISLAMABAD, May 27 (Xinhua) -- Pakistani Ministry of Foreign Affairs welcomed the Global Security Initiative (GSI) proposed by the Chinese leadership, saying that it has derived its core from the principles of the United ",0.025
Xinhua,45,2022-05-28,Xinhua,China-U.S. relations not zero-sum game: Chinese FM,"SUVA, May 28 (Xinhua) -- Visiting Chinese State Councilor and Foreign Minister Wang Yi said here Saturday that China-U.S. relations are not a zero-sum game and the U.S. should address the bilateral ties based on the prin",0.182
MFA,34,2022-05-30,Ministry of Foreign Affairs of the People's Republic of China - Spokesperson's Remarks (English),Foreign Ministry Spokesperson Zhao Lijian's Regular Press Conference on May 30 2022,"Beijing Youth Daily: US Secretary of State Antony Blinken issued a statement on May 28, saying that the US is concerned about the conditions China imposed on the visit to China by the UN High Commissioner for Human Right",0.053
